161,139,103,104,89,60,32,19,0
242,139,247,124,186,118,67,125,161
289,377,229,355,152,249,166,165,161
404,304,502,360,369,226,212,374,161
391,631,545,325,435,373,418,186,369
713,523,314,499,461,695,366,436,435
481,581,558,560,446,750,536,731,523
905,697,582,634,558,631,767,542,560
755,781,819,668,719,834,945,566,558
1001,969,840,651,861,1008,709,583,755
758,1143,988,855,797,1073,881,672,969
1313,1214,789,855,950,1048,1001,817,855
1215,1099,907,1098,940,870,896,1338,1214
1087,1058,1219,1045,1288,936,1387,1235,1098
1555,1203,1347,1198,1323,1106,990,1310,1098
1268,1441,1224,1094,1265,1394,1380,1573,1198
1730,1586,1352,1303,1483,1329,1142,1399,1268
1291,1447,1459,1669,1476,1410,1305,1740,1483
1816,1417,1544,1562,1522,1369,1496,1757,1483
1558,1654,1932,1577,1619,1614,1535,1387,1757
1931,1707,1768,1500,1621,1636,1662,1952,1619
1796,1771,1801,1600,1785,2004,1803,1652,1952
1942,1931,1914,1902,2097,1673,1695,1972,1785
1855,1831,2053,2025,1864,2160,1981,1991,1902
2144,2302,2034,1951,1950,2082,2024,1882,2053
2212,2112,2058,2190,2115,2197,1916,2319,2053
2377,2276,2173,2285,2401,1980,2162,2086,2190
2325,2423,2306,2511,2259,2435,2122,2005,2276
2689,2481,2559,2524,2204,2329,2045,2327,2276
2197,2461,2404,2436,2778,2579,2522,2220,2559
2621,2705,2553,2631,2265,2612,2820,2426,2220
2806,2375,2395,2801,2626,2670,2470,2636,2820
2786,2926,2931,2486,2461,2726,2672,2489,2820
3103,2643,2862,2589,2550,2858,2966,2692,2820
2985,2698,2713,3217,3048,2708,2901,2889,2692
2878,2825,3013,3325,3078,3112,2746,2720,2901
3195,2887,2962,2825,2987,3144,3145,3347,2878
3114,3345,2935,3079,3243,3196,2926,3369,2878
3120,3401,3058,2971,3446,3257,3158,3098,3369
3399,3288,3160,3499,3213,3026,3420,3474,3098
3197,3579,3402,3198,3240,3538,3546,3236,3399
3423,3379,3515,3297,3628,3251,3446,3559,3579
3742,3404,3569,3654,3462,3483,3677,3324,3515
3645,3618,3780,3860,3647,3454,3365,3700,3515
3615,3784,3831,3974,3733,3846,3670,3537,3365
3957,3996,4093,3466,3918,3690,3715,3557,3733
4132,3821,4112,3663,4000,3519,4135,3734,3733
3693,4149,3867,3841,3906,3711,4156,4156,4132
4012,4033,3836,3793,4233,4187,3906,4178,4156
4345,4334,3902,4025,4247,4069,3879,4249,4033
4203,4016,4144,4432,4330,3965,4365,4269,4069
4169,4349,4182,4433,4226,4027,4473,4294,4365
4325,4501,4466,4393,4299,4249,4515,4452,4027
4412,4674,4145,4423,4574,4529,4331,4470,4393
4833,4544,4270,4509,4510,4596,4371,4488,4574
4543,4697,4602,4678,4352,4580,4873,4619,4510
4779,4773,4471,4977,4631,4730,4735,4608,4510
4935,4778,4901,4624,4797,4521,5010,4628,4735
5106,4663,5041,4895,4707,4849,4661,5033,4735
5053,4851,5159,4957,4832,4727,4702,5060,5106
4886,5243,4942,5160,5239,4759,4890,4983,5053
4920,5384,5111,5011,5243,5104,4997,4897,5239
5177,5404,5116,4992,4999,5302,5144,5406,5111
5567,5142,5244,5298,5493,5198,5349,5133,4992
5653,5267,5427,5674,5277,5317,5027,5366,5142
5429,5170,5800,5541,5411,5334,5187,5667,5366
5583,5476,5667,5271,5281,5858,5705,5387,5429
5457,5813,5987,5365,5485,5476,5634,5732,5476
5617,5948,5487,5567,5709,6048,5521,5746,5485
5728,5890,5607,5816,6045,5589,5531,5635,6048
5781,6197,6180,5745,5678,5593,5870,5911,5728
6069,5883,5804,5898,5961,5654,6246,5741,6180
6047,6051,6367,5843,5723,6242,5841,6095,5961
6537,6394,6207,5948,6137,6112,5896,5747,5961
6272,6053,6073,6049,5820,6259,6572,6415,6137
6594,6195,6188,6686,6364,6203,5860,6276,6073
6390,6004,6308,6452,6763,6247,6633,6090,6276
6624,6445,6760,6197,6350,6306,6806,6018,6390
6176,6920,6477,6405,6896,6461,6250,6649,6445
7086,6560,6788,6996,6244,6509,6499,6501,6250
6430,6655,6639,6880,6600,7063,6599,7116,6244
6612,6743,6756,6981,7153,6653,7166,6263,6655
7319,6894,6742,6751,6733,7045,7217,6276,6756
7058,6877,6879,7134,6825,7378,6799,7245,6276
7287,6398,6922,6966,7128,7442,7275,6898,6825
7086,7600,7415,7015,7230,6463,7319,6844,6966
7136,7751,6564,7191,7486,7378,6880,7247,7015
7358,7409,7618,6661,6972,7819,7419,7153,7015
7116,6790,7276,7919,7431,7466,7055,7637,7419
7437,7204,7553,7213,7517,7700,7508,6810,7919
8099,7701,7654,7546,6899,7761,7249,7228,7508
7690,7031,7880,7349,7301,7761,7537,7679,8099
7849,8017,7647,8206,7107,7405,7334,7783,7679
7583,7233,8319,8118,7921,7396,7685,7700,7783
7862,7367,8236,7490,7873,7981,8358,7605,7685
8522,8376,8099,7713,7942,7941,7404,7515,7685
7862,7553,8057,7819,8172,8430,7555,8542,7942
8604,8217,8073,7663,7921,7934,8592,7575,8172
8762,8074,8730,8276,8014,7626,8117,8243,7663
7829,8209,8369,8876,7709,8081,8166,8296,8730
